BufCapacity, cons_prod, prod, cons, Length 
1, 9, 6, 3, 14
1, 9, 7, 2, 13
1, 9, 7, 2, 14
1, 9, 8, 1, 14
2, 10, 2, 8, 18
2, 10, 3, 7, 18
2, 10, 3, 7, 22
2, 10, 4, 6, 18
2, 10, 4, 6, 20
2, 10, 5, 5, 18
2, 10, 5, 5, 20
2, 10, 6, 4, 18
2, 10, 6, 4, 20
2, 10, 7, 3, 20
2, 10, 7, 3, 24
2, 10, 8, 2, 20
2, 11, 3, 8, 19
2, 11, 3, 8, 23
2, 11, 4, 7, 19
2, 11, 4, 7, 21
2, 11, 5, 6, 19
2, 11, 5, 6, 21
2, 11, 6, 5, 19
2, 11, 6, 5, 21
2, 11, 7, 4, 19
2, 11, 7, 4, 21
2, 11, 8, 3, 21
2, 11, 8, 3, 25
2, 12, 4, 8, 20
2, 12, 4, 8, 22
2, 12, 5, 7, 20
2, 12, 5, 7, 22
2, 12, 6, 6, 20
2, 12, 6, 6, 22
2, 12, 7, 5, 20
2, 12, 7, 5, 22
2, 12, 8, 4, 20
2, 12, 8, 4, 22
2, 13, 5, 8, 21
2, 13, 5, 8, 23
2, 13, 6, 7, 21
2, 13, 6, 7, 23
2, 13, 7, 6, 21
2, 13, 7, 6, 23
2, 13, 8, 5, 21
2, 13, 8, 5, 23
2, 14, 6, 8, 22
2, 14, 6, 8, 24
2, 14, 7, 7, 22
2, 14, 7, 7, 24
2, 14, 8, 6, 22
2, 14, 8, 6, 24
2, 15, 7, 8, 23
2, 15, 7, 8, 25
2, 15, 8, 7, 23
2, 15, 8, 7, 25
2, 16, 8, 8, 24
2, 16, 8, 8, 26
2, 5, 1, 4, 13
2, 5, 2, 3, 21
2, 5, 3, 2, 23
2, 5, 4, 1, 15
2, 6, 1, 5, 14
2, 6, 2, 4, 14
2, 6, 3, 3, 18
2, 6, 3, 3, 20
2, 6, 4, 2, 16
2, 6, 5, 1, 16
2, 7, 1, 6, 15
2, 7, 2, 5, 15
2, 7, 3, 4, 15
2, 7, 3, 4, 19
2, 7, 4, 3, 17
2, 7, 4, 3, 21
2, 7, 5, 2, 17
2, 7, 6, 1, 17
2, 8, 1, 7, 16
2, 8, 2, 6, 16
2, 8, 3, 5, 16
2, 8, 3, 5, 20
2, 8, 4, 4, 16
2, 8, 4, 4, 18
2, 8, 5, 3, 18
2, 8, 5, 3, 22
2, 8, 6, 2, 18
2, 8, 7, 1, 18
2, 9, 1, 8, 17
2, 9, 2, 7, 17
2, 9, 3, 6, 17
2, 9, 3, 6, 21
2, 9, 4, 5, 17
2, 9, 4, 5, 19
2, 9, 5, 4, 17
2, 9, 5, 4, 19
2, 9, 6, 3, 19
2, 9, 6, 3, 23
2, 9, 7, 2, 19
2, 9, 8, 1, 19
3, 10, 4, 6, 22
3, 10, 4, 6, 28
3, 10, 5, 5, 28
3, 10, 5, 5, 31
3, 10, 6, 4, 25
3, 10, 6, 4, 31
3, 11, 5, 6, 23
3, 11, 5, 6, 29
3, 11, 6, 5, 26
3, 11, 6, 5, 32
3, 12, 6, 6, 24
3, 12, 6, 6, 27
3, 7, 1, 6, 19
3, 7, 2, 5, 31
3, 7, 3, 4, 43
3, 7, 4, 3, 46
3, 7, 5, 2, 34
3, 7, 6, 1, 22
3, 8, 2, 6, 20
3, 8, 3, 5, 32
3, 8, 4, 4, 32
3, 8, 4, 4, 35
3, 8, 5, 3, 35
3, 8, 6, 2, 23
3, 9, 3, 6, 21
3, 9, 4, 5, 27
3, 9, 4, 5, 30
3, 9, 5, 4, 27
3, 9, 5, 4, 30
3, 9, 6, 3, 24
4, 10, 4, 6, 42
4, 10, 5, 5, 50
4, 10, 5, 5, 54
4, 10, 6, 4, 46
4, 11, 5, 6, 43
4, 11, 5, 6, 47
4, 11, 6, 5, 43
4, 11, 6, 5, 47
4, 12, 6, 6, 36
4, 12, 6, 6, 40
4, 9, 3, 6, 57
4, 9, 4, 5, 73
4, 9, 5, 4, 77
4, 9, 6, 3, 61
5, 11, 5, 6, 111
5, 11, 6, 5, 116
5, 12, 6, 6, 72
5, 12, 6, 6, 77
6, 13, 6, 7, 157
